"#OTU_ID"	"EXPERIMENT_3_T_A01"	"EXPERIMENT_3_T_A02"	"EXPERIMENT_3_T_A03"	"EXPERIMENT_3_T_A04"	"EXPERIMENT_3_T_A05"	"EXPERIMENT_3_T_A06"	"EXPERIMENT_3_T_A07"	"EXPERIMENT_3_T_A08"	"EXPERIMENT_3_T_A09"	"EXPERIMENT_3_T_A10"	"EXPERIMENT_3_T_B01"	"EXPERIMENT_3_T_B02"	"EXPERIMENT_3_T_B03"	"EXPERIMENT_3_T_B04"	"EXPERIMENT_3_T_B05"	"EXPERIMENT_3_T_B06"	"EXPERIMENT_3_T_B07"	"EXPERIMENT_3_T_B08"	"EXPERIMENT_3_T_B09"	"EXPERIMENT_3_T_B10"	"EXPERIMENT_3_T_C01"	"EXPERIMENT_3_T_C02"	"EXPERIMENT_3_T_C03"	"EXPERIMENT_3_T_C04"	"EXPERIMENT_3_T_C05"	"EXPERIMENT_3_T_C06"	"EXPERIMENT_3_T_C07"	"EXPERIMENT_3_T_C08"	"EXPERIMENT_3_T_C09"	"EXPERIMENT_3_T_C10"	"EXPERIMENT_3_T_D01"	"EXPERIMENT_3_T_D02"	"EXPERIMENT_3_T_D03"	"EXPERIMENT_3_T_D04"	"EXPERIMENT_3_T_D05"	"EXPERIMENT_3_T_D06"	"EXPERIMENT_3_T_D07"	"EXPERIMENT_3_T_D08"	"EXPERIMENT_3_T_D09"	"EXPERIMENT_3_T_D10"	"EXPERIMENT_3_T_E01"	"EXPERIMENT_3_T_E02"	"EXPERIMENT_3_T_E03"	"EXPERIMENT_3_T_E04"	"EXPERIMENT_3_T_E05"	"EXPERIMENT_3_T_E06"	"EXPERIMENT_3_T_E07"	"EXPERIMENT_3_T_E08"	"EXPERIMENT_3_T_E09"	"EXPERIMENT_3_T_E10"	"EXPERIMENT_3_T_F01"	"EXPERIMENT_3_T_F02"	"EXPERIMENT_3_T_F03"	"EXPERIMENT_3_T_F04"	"EXPERIMENT_3_T_F05"	"EXPERIMENT_3_T_F06"	"EXPERIMENT_3_T_F07"	"EXPERIMENT_3_T_F08"	"EXPERIMENT_3_T_F09"	"EXPERIMENT_3_T_F10"	"EXPERIMENT_3_T_KN_hom1"	"EXPERIMENT_3_T_KN_hom2"	"EXPERIMENT_3_T_KN_hom_pl1"	"EXPERIMENT_3_T_KN_hom_pl2"	"EXPERIMENT_3_T_Neg_PCR"
"Zotu67"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	22	78	86	0	0	81	48	4	72	1595	1553	903	81	774	838	0	0	0	0	20	0	138	82	24	0	93	69	0	0	0	0	0	0	0	0	0	0	0
"Zotu12"	38	118	51	387	43	107	57	575	84	680	8	652	184	58	157	150	23	6	180	173	74	55	2	1	0	5	82	30	55	61	21	0	39	39	9	47	392	514	453	99	242	213	88	42	43	130	782	255	123	680	25	27	21	156	0	0	0	0	0	0	0	0	0	0	0
"Zotu85"	0	20	10	9	7	24	72	729	13	12	18	112	0	38	0	10	0	2	102	37	0	1	0	4	9	20	14	0	18	8	0	17	0	4	3	10	0	0	11	4	20	1	31	0	7	156	10	0	32	0	32	1	26	4	1	1	0	0	0	13	3	9	0	15	41
"Zotu266"	0	8	0	0	0	46	0	16	0	9	0	0	0	0	1	19	2	1	36	88	2	46	1	1	11	98	0	0	0	0	0	0	17	68	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	7	53	0	0	35	0	0	0	0	0	0	0	0	0	0	0
"Zotu26"	1167	639	235	383	7	112	154	222	27	346	47	279	31	0	1	12	0	0	60	27	20	12	44	9	94	85	205	91	190	106	99	46	387	176	0	0	15	7	31	1	3	2	281	259	604	550	245	264	293	484	91	28	217	152	0	0	0	0	0	0	0	0	0	0	0
"Zotu69"	28	0	25	0	273	0	10	0	3232	0	0	0	3	0	11	0	23	0	960	455	0	0	3	0	0	0	0	0	0	0	79	37	6	0	7	4	0	0	37	49	0	0	12	0	0	0	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu133"	0	0	0	0	0	0	0	41	0	0	0	0	0	0	50	122	9	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	74	15	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu178"	0	0	0	0	3	19	29	9	7	0	0	15	0	38	1	0	0	2	3	9	2	3	0	1	42	0	10	0	0	13	0	26	0	0	8	15	4	0	24	0	12	5	9	17	0	9	38	18	13	11	17	11	10	4	0	0	0	0	5	5	0	9	23	16	35
"Zotu38"	885	162	55	179	57	576	30	89	3	34	0	40	37	24	25	70	30	34	28	52	10	51	6	5	85	166	9	52	116	129	73	71	510	369	0	41	153	235	137	46	42	70	143	39	81	290	95	35	74	119	461	94	100	506	0	0	0	0	0	0	0	0	0	0	0
"Zotu187"	6	0	128	0	0	0	7	0	1230	0	0	0	0	0	0	0	4	0	122	36	0	1	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu892"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu180"	30	0	77	0	0	0	8	0	114	0	0	0	0	0	0	0	42	0	20	8	5	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu870"	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu452"	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	5	0	0	0	7	1	0	34	3	0	32	120	72	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu1"	402	1060	49	956	9	3468	41	1818	10	843	4	1130	189	916	108	215	169	375	552	856	2114	788	90	161	1135	1513	358	684	2498	1206	70	0	1219	677	9	146	2033	2139	1881	44	1351	1495	85	332	2389	1578	51	55	2892	2129	36	20	3439	2251	597	452	0	0	0	0	0	0	0	0	0
"Zotu56"	2	43	0	18	0	176	0	100	0	74	0	8	0	24	0	5	0	0	6	2	0	3	0	0	0	0	0	31	80	17	0	0	0	0	0	0	28	20	17	0	22	23	0	0	55	36	0	0	108	19	0	0	91	71	30	30	0	0	0	0	0	0	0	0	0
"Zotu208"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	9	21	43	0	0	0	0	0	0	0	0	99	48	24	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu279"	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	33	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu3"	169	118	34	265	7	776	0	451	4	158	0	355	83	440	55	61	43	70	62	63	180	71	45	44	404	392	170	242	937	471	26	0	288	170	0	13	147	107	614	19	442	463	0	0	68	121	0	23	4716	2804	13	16	1099	585	1544	1315	0	0	0	0	0	0	0	0	0
"Zotu103"	3	6	0	4	0	56	0	26	0	0	0	6	0	3	0	1	0	0	2	0	5	0	0	0	0	0	0	2	0	12	0	0	0	0	0	0	5	5	0	0	0	6	0	0	3	18	0	0	14	2	0	0	15	16	41	20	0	0	0	0	0	0	0	0	0
"Zotu51"	4	90	46	117	0	0	0	3	8	168	0	15	588	0	742	811	254	14	61	9	8	1	1	0	14	10	111	19	6	0	0	0	0	7	0	3	0	0	30	5	1	0	0	0	0	0	0	0	2	11	11	82	0	13	0	0	0	0	0	0	0	0	0	0	0
"Zotu25"	97	194	0	9	0	350	0	103	0	284	4	749	68	428	23	37	5	6	0	0	0	0	0	0	0	0	185	313	1348	791	0	0	0	0	0	0	29	167	363	0	251	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu33"	131	98	56	127	0	87	0	8	0	24	0	0	6	104	12	15	21	15	0	0	0	0	0	1	22	16	5	0	6	0	0	0	27	8	9	0	41	12	6	0	0	0	0	31	57	10	0	10	22	21	0	39	50	29	266	238	41	98	0	0	0	0	0	0	0
